body, x, y, z
saturn,7.8109,4.9756,-0.3972
uranus,13.4064,-14.6853,-0.2284
neptune,15.8470,-25.6295,0.1625
sun,0.0000,-0.0016,0.0000
jupiter,4.9452,0.2453,-0.1118
saturn,7.7989,4.9927,-0.3970
uranus,13.4169,-14.6762,-0.2285
neptune,15.8567,-25.6233,0.1622
sun,0.0000,-0.0017,0.0000
jupiter,4.9433,0.2741,-0.1118
saturn,7.7868,5.0099,-0.3968
uranus,13.4274,-14.6672,-0.2286
neptune,15.8664,-25.6172,0.1618
sun,0.0000,-0.0017,0.0000
jupiter,4.9413,0.3030,-0.1119
saturn,7.7747,5.0270,-0.3966
uranus,13.4379,-14.6581,-0.2287
neptune,15.8761,-25.6111,0.1615
sun,0.0000,-0.0017,0.0000
jupiter,4.9391,0.3318,-0.1120
saturn,7.7625,5.0440,-0.3964
uranus,13.4483,-14.6490,-0.2288
neptune,15.8857,-25.6049,0.1612
sun,0.0000,-0.0018,0.0000
jupiter,4.9367,0.3607,-0.1121
saturn,7.7503,5.0611,-0.3962
uranus,13.4588,-14.6399,-0.2289
neptune,15.8954,-25.5988,0.1608
sun,0.0000,-0.0018,0.0000
jupiter,4.9342,0.3895,-0.1121
saturn,7.7380,5.0781,-0.3960
uranus,13.4693,-14.6309,-0.2290
neptune,15.9051,-25.5926,0.1605
sun,0.0000,-0.0018,0.0000
jupiter,4.9315,0.4183,-0.1122
saturn,7.7257,5.0951,-0.3959
uranus,13.4798,-14.6218,-0.2291
neptune,15.9147,-25.5865,0.1601
sun,0.0000,-0.0019,0.0000
jupiter,4.9286,0.4471,-0.1122
saturn,7.7134,5.1121,-0.3957
uranus,13.4902,-14.6127,-0.2292
neptune,15.9244,-25.5803,0.1598
sun,0.0000,-0.0019,0.0000
jupiter,4.9256,0.4758,-0.1123
saturn,7.7010,5.1291,-0.3955
uranus,13.5007,-14.6035,-0.2293
neptune,15.9341,-25.5742,0.1594
sun,0.0001,-0.0019,0.0000
jupiter,4.9225,0.5046,-0.1123
saturn,7.6886,5.1460,-0.3953
uranus,13.5111,-14.5944,-0.2294
neptune,15.9437,-25.5680,0.1591
sun,0.0001,-0.0020,0.0000
jupiter,4.9191,0.5334,-0.1124
saturn,7.6762,5.1629,-0.3951
uranus,13.5215,-14.5853,-0.2295
neptune,15.9534,-25.5618,0.1587
sun,0.0001,-0.0020,0.0000
jupiter,4.9157,0.5621,-0.1124
saturn,7.6637,5.1798,-0.3949
uranus,13.5320,-14.5762,-0.2296
neptune,15.9630,-25.5557,0.1584
sun,0.0001,-0.0020,0.0000
jupiter,4.9120,0.5908,-0.1125
saturn,7.6512,5.1966,-0.3947
uranus,13.5424,-14.5670,-0.2297
neptune,15.9727,-25.5495,0.1580
sun,0.0001,-0.0021,0.0000
jupiter,4.9082,0.6195,-0.1125
saturn,7.6386,5.2134,-0.3944
uranus,13.5528,-14.5579,-0.2298
neptune,15.9823,-25.5433,0.1577
sun,0.0001,-0.0021,0.0000
jupiter,4.9042,0.6482,-0.1125
saturn,7.6260,5.2302,-0.3942
uranus,13.5632,-14.5487,-0.2299
neptune,15.9920,-25.5371,0.1573
sun,0.0001,-0.0021,0.0000
jupiter,4.9001,0.6768,-0.1125
saturn,7.6134,5.2470,-0.3940
uranus,13.5736,-14.5395,-0.2300
neptune,16.0016,-25.5310,0.1570
sun,0.0001,-0.0022,0.0000
jupiter,4.8958,0.7054,-0.1126
saturn,7.6007,5.2638,-0.3938
uranus,13.5840,-14.5304,-0.2301
neptune,16.0113,-25.5248,0.1566
sun,0.0001,-0.0022,0.0000
jupiter,4.8914,0.7340,-0.1126
saturn,7.5880,5.2805,-0.3936
uranus,13.5944,-14.5212,-0.2302
neptune,16.0209,-25.5186,0.1563
sun,0.0001,-0.0022,0.0000
jupiter,4.8868,0.7626,-0.1126
saturn,7.5753,5.2972,-0.3934
uranus,13.6048,-14.5120,-0.2303
neptune,16.0306,-25.5124,0.1559
sun,0.0001,-0.0023,0.0000
jupiter,4.8820,0.7912,-0.1126
saturn,7.5625,5.3138,-0.3932
uranus,13.6152,-14.5028,-0.2304
